Host_name;Host_year;Season;Host_country;Host_continent;Discipline;Event;Event_type;Athlete_full_name;Athlete_country;Medal_type
beijing;2022;Winter;china;asia;Freestyle Skiing;Men's Ski Cross;Athlete;Sergey RIDZIK;ROC;BRONZE
beijing;2022;Winter;china;asia;Freestyle Skiing;Women's Moguls;Athlete;Anastasiia SMIRNOVA;ROC;BRONZE
beijing;2022;Winter;china;asia;Freestyle Skiing;Men's Aerials;Athlete;Ilia BUROV;ROC;BRONZE
beijing;2022;Winter;china;asia;Short Track Speed Skating;Men's 500m;Athlete;Konstantin IVLIEV;ROC;SILVER
beijing;2022;Winter;china;asia;Short Track Speed Skating;Men's 1500m;Athlete;Semen ELISTRATOV;ROC;BRONZE
beijing;2022;Winter;china;asia;Snowboard;Men's Parallel Giant Slalom;Athlete;Vic WILD;ROC;BRONZE
beijing;2022;Winter;china;asia;Figure skating;Women Single Skating;Athlete;Anna SHCHERBAKOVA;ROC;GOLD
beijing;2022;Winter;china;asia;Figure skating;Women Single Skating;Athlete;Alexandra Trusova;ROC;SILVER
beijing;2022;Winter;china;asia;Luge;Women's Singles;Athlete;Tatyana IVANOVA;ROC;BRONZE
beijing;2022;Winter;china;asia;Biathlon;Men's 12.5km Pursuit;Athlete;Eduard LATYPOV;ROC;BRONZE
beijing;2022;Winter;china;asia;Cross Country Skiing;Men's 15km + 15km Skiathlon;Athlete;Alexander BOLSHUNOV;ROC;GOLD
beijing;2022;Winter;china;asia;Cross Country Skiing;Men's 15km + 15km Skiathlon;Athlete;Denis SPITSOV;ROC;SILVER
beijing;2022;Winter;china;asia;Cross Country Skiing;Women's 7.5km + 7.5km Skiathlon;Athlete;Natalia NEPRYAEVA;ROC;SILVER
beijing;2022;Winter;china;asia;Cross Country Skiing;Men's 50km Mass Start Free;Athlete;Alexander BOLSHUNOV;ROC;GOLD
beijing;2022;Winter;china;asia;Cross Country Skiing;Men's 50km Mass Start Free;Athlete;Ivan YAKIMUSHKIN;ROC;SILVER
